id,Name,CountryName,X,Y,Start time,End time,Duration,Class_label,N merged events,Temporal context start,Temporal context end,AND_6,AND_5,AND_4,AND_3,AND_2,AND_1,LMM_6,LMM_5,LMM_4,LMM_3,LMM_2,LMM_1,HM_6,HM_5,HM_4,HM_3,HM_2,HM_1,HMM_6,HMM_5,HMM_4,HMM_3,HMM_2,HMM_1,NM_6,NM_5,NM_4,NM_3,NM_2,NM_1,DM_6,DM_5,DM_4,DM_3,DM_2,DM_1,SH_6,SH_5,SH_4,SH_3,SH_2,SH_1,IM_6,IM_5,IM_4,IM_3,IM_2,IM_1,AND_Start,AND_End,AND_Duration,LMM_Start,LMM_End,LMM_Duration,HM_Start,HM_End,HM_Duration,HMM_Start,HMM_End,HMM_Duration,NM_Start,NM_End,NM_Duration,DM_Start,DM_End,DM_Duration,SH_Start,SH_End,SH_Duration,IM_Start,IM_End,IM_Duration
AF_almost no disease_12_17-02-2020_17-05-2020,AF_almost no disease_12_17-02-2020_17-05-2020,Afghanistan,69.183334,34.516666,17/2/2020,17/05/2020,91,almost no disease,12,43983,17-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF_almost no disease_5_06-07-2020_16-08-2020,AF_almost no disease_5_06-07-2020_16-08-2020,Afghanistan,69.183334,34.516666,43989,16/08/2020,42,almost no disease,5,25-05-2020,43989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AF_almost no disease_35_14-09-2020_23-05-2021,AF_almost no disease_35_14-09-2020_23-05-2021,Afghanistan,69.183334,34.516666,14/09/2020,23/05/2021,252,almost no disease,35,43898,14-09-2020,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-5,2,0,0,0,0,0,0,0,0,0,-6,-5,2,0,0,0,0,0,0,0,0,0
AF_low to medium morbidity_5_17-05-2021_27-06-2021,AF_low to medium morbidity_5_17-05-2021_27-06-2021,Afghanistan,69.183334,34.516666,17/05/2021,27/06/2021,42,low to medium morbidity,5,44320,17-05-2021,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
AT_almost no disease_3_17-02-2020_15-03-2020,AT_almost no disease_3_17-02-2020_15-03-2020,Austria,16.366667,48.2,17/02/2020,15/03/2020,28,almost no disease,3,43983,17-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_almost no disease_11_04-05-2020_26-07-2020,AT_almost no disease_11_04-05-2020_26-07-2020,Austria,16.366667,48.2,43926,26/07/2020,84,almost no disease,11,23-03-2020,43926,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0,-6,-6,1,-6,-1,6,0,0,0
AT_low to medium morbidity_8_09-03-2020_10-05-2020,AT_low to medium morbidity_8_09-03-2020_10-05-2020,Austria,16.366667,48.2,44077,44109,63,low to medium morbidity,8,27-01-2020,44077,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-1,3,0,0,0,0,0,0,0,0,0,-3,-1,3,0,0,0,0,0,0,0,0,0
AT_low to medium morbidity_10_20-07-2020_04-10-2020,AT_low to medium morbidity_10_20-07-2020_04-10-2020,Austria,16.366667,48.2,20/07/2020,43931,77,low to medium morbidity,10,44049,20-07-2020,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
AT_low to medium morbidity_6_10-05-2021_27-06-2021,AT_low to medium morbidity_6_10-05-2021_27-06-2021,Austria,16.366667,48.2,44474,27/06/2021,49,low to medium morbidity,6,29-03-2021,44474,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,-4,-1,4,-6,-6,1,0,0,0,-6,-4,3
AT_high morbidity_5_28-09-2020_08-11-2020,AT_high morbidity_5_28-09-2020_08-11-2020,Austria,16.366667,48.2,28/09/2020,44054,42,high morbidity,5,17-08-2020,28-09-2020,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,-6,-1,6,0,0,0,0,0,0,0,0,0
AT_high morbidity_18_04-01-2021_16-05-2021,AT_high morbidity_18_04-01-2021_16-05-2021,Austria,16.366667,48.2,44287,16/05/2021,133,high morbidity,18,23-11-2020,44287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-6,-1,6,0,0,0,-3,-1,3,-6,-5,2,-5,-1,4
AT_high morbidity and mortality_9_02-11-2020_10-01-2021,AT_high morbidity and mortality_9_02-11-2020_10-01-2021,Austria,16.366667,48.2,43872,44470,70,high morbidity and mortality,9,21-09-2020,43872,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-6,-5,2,-5,-1,5,0,0,0,-6,-3,4,-3,-1,3,-1,-1,1,0,0,0
BA_almost no disease_5_17-02-2020_29-03-2020,BA_almost no disease_5_17-02-2020_29-03-2020,Bosnia and Herzegovina,18.416668,43.866665,17/02/2020,29/03/2020,42,almost no disease,5,43983,17-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA_almost no disease_2_25-05-2020_14-06-2020,BA_almost no disease_2_25-05-2020_14-06-2020,Bosnia and Herzegovina,18.416668,43.866665,25/05/2020,14/06/2020,21,almost no disease,2,13-04-2020,25-05-2020,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,-6,-1,6,0,0,0,0,0,0,-1,-1,1,0,0,0,-6,-4,3,-4,-1,4
BA_low to medium morbidity_9_23-03-2020_31-05-2020,BA_low to medium morbidity_9_23-03-2020_31-05-2020,Bosnia and Herzegovina,18.416668,43.866665,23/03/2020,31/05/2020,70,low to medium morbidity,9,44106,23-03-2020,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,5,0,0,0,0,0,0,0,0,0,-5,-2,4,-2,-1,2,0,0,0,0,0,0
BA_low to medium morbidity_17_08-06-2020_11-10-2020,BA_low to medium morbidity_17_08-06-2020_11-10-2020,Bosnia and Herzegovina,18.416668,43.866665,44049,44145,126,low to medium morbidity,17,27-04-2020,44049,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,-2,-1,2,-6,-2,5,0,0,0,0,0,0,-3,-1,3,0,0,0,-6,-6,1,-6,-3,4
