,id,Name,Sequence ID,Province name,Class_label,Start time,End time,Duration,Temporal context start,Temporal context end,Actual temporal context duration,Week6_Covid,Week5_Covid,Week4_Covid,Week3_Covid,Week2_Covid,Week1_Covid,Week6_Mobility,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Week1_Mobility,Week5_Covid_encoded,Week3_Covid_encoded,Covid_trend,Days_passed
1,01_c1_12_20/04/2020_12/07/2020,,1,Araba/ lava,c1,20/04/2020,12/7/2020,84,9/3/2020,20/04/2020,42,c4,c4,c4,c3,c3,c2,m4,m1,m1,m1,m1,m1,4,3,D,63.0
3,01_c2_1_13/04/2020..19/04/2020,,1,Araba/ lava,c2,13/04/2020,19/04/2020,7,2/3/2020,13/04/2020,42,c3,c4,c4,c4,c3,c3,m4,m4,m1,m1,m1,m1,4,4,S,56.0
4,01_c2_2_13/07/2020_26/07/2020,,1,Araba/ lava,c2,13/07/2020,26/07/2020,14,1/6/2020,13/07/2020,42,c1,c1,c1,c1,c1,c1,m3,m3,m3,m3,m3,m3,1,1,S,147.0
6,01_c3_2_30/03/2020_12/04/2020,,1,Araba/ lava,c3,30/03/2020,12/4/2020,14,17/02/2020,30/03/2020,42,c1,c2,c3,c4,c4,c4,m4,m4,m4,m4,m1,m1,2,4,I,42.0
7,01_c3_2_27/07/2020_09/08/2020,,1,Araba/ lava,c3,27/07/2020,9/8/2020,14,15/06/2020,27/07/2020,42,c1,c1,c1,c1,c2,c2,m3,m3,m3,m3,m3,m3,1,1,S,161.0
8,01_c3_6_31/08/2020_11/10/2020,,1,Araba/ lava,c3,31/08/2020,11/10/2020,42,20/07/2020,31/08/2020,42,c2,c3,c3,c4,c4,c4,m3,m3,m2,m1,m1,m2,3,4,I,196.0
9,01_c3_7_23/11/2020_10/01/2021,,1,Araba/ lava,c3,23/11/2020,10/1/2021,49,12/10/2020,23/11/2020,42,c4,c4,c4,c4,c4,c4,m3,m3,m3,m3,m3,m3,4,4,S,280.0
10,01_c3_7_08/02/2021_28/03/2021,,1,Araba/ lava,c3,8/2/2021,28/03/2021,49,28/12/2020,8/2/2021,42,c3,c3,c4,c4,c4,c4,m2,m2,m3,m3,m3,m3,3,4,I,357.0
11,01_c3_2_26/04/2021_09/05/2021,,1,Araba/ lava,c3,26/04/2021,9/5/2021,14,15/03/2021,26/04/2021,42,c3,c3,c4,c4,c4,c4,m3,m3,m3,m3,m3,m3,3,4,I,434.0
13,01_c4_3_10/08/2020_30/08/2020,,1,Araba/ lava,c4,10/8/2020,30/08/2020,21,29/06/2020,10/8/2020,42,c1,c1,c2,c2,c3,c3,m3,m3,m3,m3,m3,m2,1,2,I,175.0
14,01_c4_6_12/10/2020_22/11/2020,,1,Araba/ lava,c4,12/10/2020,22/11/2020,42,31/08/2020,12/10/2020,42,c3,c3,c3,c3,c3,c3,m3,m3,m3,m3,m3,m3,3,3,S,238.0
15,01_c4_4_11/01/2021_07/02/2021,,1,Araba/ lava,c4,11/1/2021,7/2/2021,28,30/11/2020,11/1/2021,42,c3,c3,c3,c3,c3,c3,m3,m2,m3,m2,m2,m2,3,3,S,329.0
16,01_c4_4_29/03/2021_25/04/2021,,1,Araba/ lava,c4,29/03/2021,25/04/2021,28,15/02/2021,29/03/2021,42,c3,c3,c3,c3,c3,c3,m3,m3,m3,m3,m3,m3,3,3,S,406.0
18,02_c1_13_27/04/2020_26/07/2020,,2,Albacete,c1,27/04/2020,26/07/2020,91,16/03/2020,27/04/2020,42,c3,c3,c3,c3,c2,c2,m1,m1,m1,m1,m1,m1,3,3,S,70.0
19,02_c1_2_15/03/2021_28/03/2021,,2,Albacete,c1,15/03/2021,28/03/2021,14,1/2/2021,15/03/2021,42,c3,c3,c2,c2,c2,c2,m3,m3,m3,m3,m3,m4,3,2,D,392.0
21,02_c2_2_13/04/2020_26/04/2020,,2,Albacete,c2,13/04/2020,26/04/2020,14,2/3/2020,13/04/2020,42,c2,c3,c3,c3,c3,c3,m4,m4,m1,m1,m1,m1,3,3,S,56.0
22,02_c2_2_27/07/2020_09/08/2020,,2,Albacete,c2,27/07/2020,9/8/2020,14,15/06/2020,27/07/2020,42,c1,c1,c1,c1,c1,c1,m3,m3,m3,m3,m3,m3,1,1,S,161.0
23,02_c2_4_15/02/2021_14/03/2021,,2,Albacete,c2,15/02/2021,14/03/2021,28,4/1/2021,15/02/2021,42,c4,c4,c4,c4,c3,c3,m2,m2,m2,m3,m3,m3,4,4,S,364.0
24,02_c2_6_29/03/2021_09/05/2021,,2,Albacete,c2,29/03/2021,9/5/2021,42,15/02/2021,29/03/2021,42,c2,c2,c2,c2,c1,c1,m3,m3,m3,m4,m4,m3,2,2,S,406.0
26,02_c3_10_10/08/2020_18/10/2020,,2,Albacete,c3,10/8/2020,18/10/2020,70,29/06/2020,10/8/2020,42,c1,c1,c1,c1,c2,c2,m3,m3,m3,m3,m3,m3,1,1,S,175.0
27,02_c3_4_16/11/2020_13/12/2020,,2,Albacete,c3,16/11/2020,13/12/2020,28,5/10/2020,16/11/2020,42,c3,c3,c4,c4,c4,c4,m4,m3,m3,m3,m3,m3,3,4,I,273.0
28,02_c3_2_01/02/2021_14/02/2021,,2,Albacete,c3,1/2/2021,14/02/2021,14,21/12/2020,1/2/2021,42,c4,c4,c4,c4,c4,c4,m3,m2,m2,m2,m2,m3,4,4,S,350.0
29,02_c4_4_19/10/2020_15/11/2020,,2,Albacete,c4,19/10/2020,15/11/2020,28,7/9/2020,19/10/2020,42,c3,c3,c3,c3,c3,c3,m3,m4,m4,m3,m4,m3,3,3,S,245.0
30,02_c4_7_14/12/2020_31/01/2021,,2,Albacete,c4,14/12/2020,31/01/2021,49,2/11/2020,14/12/2020,42,c4,c4,c3,c3,c3,c3,m3,m3,m4,m3,m3,m3,4,3,D,301.0
32,03_c1_15_06/04/2020_19/07/2020,,3,Alacant/Alicante,c1,6/4/2020,19/07/2020,105,24/02/2020,6/4/2020,42,c1,c1,c2,c2,c2,c2,m4,m4,m4,m1,m1,m1,1,2,I,49.0
34,03_c2_4_20/07/2020_16/08/2020,,3,Alacant/Alicante,c2,20/07/2020,16/08/2020,28,8/6/2020,20/07/2020,42,c1,c1,c1,c1,c1,c1,m3,m3,m3,m4,m4,m4,1,1,S,154.0
35,03_c2_11_22/02/2021_09/05/2021,,3,Alacant/Alicante,c2,22/02/2021,9/5/2021,77,11/1/2021,22/02/2021,42,c4,c4,c4,c4,c3,c3,m3,m2,m2,m2,m3,m3,4,4,S,371.0
36,03_c3_9_17/08/2020_18/10/2020,,3,Alacant/Alicante,c3,17/08/2020,18/10/2020,63,6/7/2020,17/08/2020,42,c1,c1,c2,c2,c2,c2,m4,m4,m4,m4,m4,m4,1,2,I,182.0
37,03_c3_4_16/11/2020_13/12/2020,,3,Alacant/Alicante,c3,16/11/2020,13/12/2020,28,5/10/2020,16/11/2020,42,c3,c3,c4,c4,c4,c4,m3,m3,m3,m3,m3,m3,3,4,I,273.0
38,03_c3_2_08/02/2021_21/02/2021,,3,Alacant/Alicante,c3,8/2/2021,21/02/2021,14,28/12/2020,8/2/2021,42,c4,c4,c4,c4,c4,c4,m2,m2,m3,m2,m2,m2,4,4,S,357.0
