Week6_Covid,Week5_Covid,Week4_Covid,Week3_Covid,Week2_Covid,Week1_Covid,Week6_Mobility,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Week1_Mobility,Class_label
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,almost no disease
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,low to medium morbidity
2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,almost no disease
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,low to medium morbidity
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,low to medium morbidity
3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,low to medium morbidity
2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,high morbidity
4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,high morbidity
2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,high morbidity and mortality
2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,almost no disease
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,low to medium morbidity
2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,low to medium morbidity
4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,low to medium morbidity
4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,low to medium morbidity
2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,high morbidity
4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,high morbidity
4.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,high morbidity
2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,high morbidity and mortality
2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,high morbidity and mortality
2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,almost no disease
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,low to medium morbidity
2.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,low to medium morbidity
2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,low to medium morbidity
3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,low to medium morbidity
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,high morbidity
2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,high morbidity
4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,high morbidity
0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,high morbidity and mortality
2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,high morbidity and mortality
1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,low to medium morbidity
