Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration
2,2,2,3,1,2,2,259,35
4,1,4,3,2,3,3,350,63
2,1,3,4,1,3,4,406,56
4,1,2,3,1,3,3,245,126
4,1,2,4,3,2,3,154,63
3,2,3,4,2,2,3,336,84
4,1,2,1,2,2,2,231,42
4,4,2,3,2,3,2,245,70
2,2,2,4,3,2,4,413,140
2,1,1,3,2,3,4,203,63
1,1,2,1,1,2,2,147,105
4,2,4,3,1,1,3,154,49
3,1,2,2,2,4,3,105,21
4,3,2,2,2,2,3,322,42
2,2,3,3,2,1,3,357,140
2,3,1,3,1,3,3,231,63
4,4,2,3,1,4,4,420,105
3,3,2,2,3,2,2,399,147
3,4,4,3,1,4,4,280,7
2,4,2,3,2,4,2,329,28
1,1,3,1,3,4,3,350,91
1,1,1,4,4,2,2,315,140
3,2,1,3,2,1,4,273,21
1,1,2,4,3,4,2,231,140
1,3,1,1,1,2,2,140,63
1,2,2,1,3,3,3,252,35
3,4,1,2,4,3,3,273,49
1,3,2,4,2,3,3,119,63
3,1,3,4,1,1,3,245,70
3,3,3,3,2,1,4,189,140
4,1,1,3,2,1,4,98,133
1,1,2,3,1,1,2,252,77
3,1,2,3,4,2,2,154,14
4,1,2,4,3,2,2,350,112
1,2,1,3,2,1,4,224,28
2,1,2,3,1,3,2,266,140
4,1,2,3,1,2,4,154,126
3,2,2,2,2,1,4,63,28
1,1,3,3,1,2,2,315,147
1,4,1,3,1,2,4,105,91
1,3,4,2,1,4,2,119,35
4,3,4,4,2,1,1,399,77
3,2,1,3,1,1,3,49,63
3,1,2,1,4,1,2,133,42
1,2,2,3,1,4,2,182,105
4,3,2,3,2,3,2,441,28
4,3,4,4,2,1,3,392,21
2,4,1,4,1,2,3,42,63
1,1,3,3,1,2,2,434,21
3,2,2,4,2,1,3,245,49
1,2,4,2,2,1,2,420,84
3,2,1,3,1,2,4,329,112
3,2,2,2,1,2,3,406,91
3,1,4,3,1,4,3,63,133
3,1,2,3,3,4,3,357,133
3,2,2,4,2,2,2,329,63
4,2,1,4,4,3,2,56,7
3,1,2,2,2,2,4,252,49
2,1,3,2,1,2,3,280,28
4,2,2,1,3,1,3,259,28
3,2,4,3,4,3,1,427,112
4,2,3,4,3,2,1,350,28
3,1,2,2,3,1,3,378,49
4,3,2,4,1,2,1,392,35
3,2,2,4,2,2,4,168,105
4,2,1,3,4,1,4,42,140
2,1,2,2,3,2,1,119,84
4,3,1,1,2,2,3,63,98
3,1,2,3,1,4,4,266,147
3,2,1,4,2,3,2,140,21
3,1,2,3,1,1,3,168,49
4,3,2,3,1,1,2,371,56
4,3,2,3,1,2,2,406,14
1,2,1,3,1,1,2,112,119
4,4,3,3,3,3,3,343,133
3,1,2,1,4,1,2,189,98
2,2,2,3,3,2,3,231,56
4,2,4,3,3,2,2,259,105
3,1,2,3,1,3,4,98,63
1,3,2,3,2,1,3,357,84
4,1,3,3,1,2,3,392,63
4,2,1,4,1,2,3,182,98
3,1,2,3,2,1,3,210,63
2,2,2,4,1,2,3,441,91
3,2,2,2,3,1,2,49,14
4,1,2,1,1,1,1,161,112
1,3,2,4,1,4,3,406,98
4,1,1,2,3,2,4,259,77
4,1,2,4,3,2,2,343,28
1,1,2,2,1,3,2,147,63
2,1,4,3,1,3,2,105,42
1,1,3,4,1,2,2,126,42
4,2,4,2,3,1,1,252,126
4,1,2,3,1,1,4,161,112
3,3,1,3,2,4,2,420,7
1,3,3,3,3,4,3,329,77
4,1,4,3,3,2,3,378,105
1,1,1,3,3,2,3,182,133
4,4,4,4,1,2,4,231,91
1,2,2,2,3,3,3,161,91
