,Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration,Class_label,start_date,end_date
0,1,1,1,1,1,3,3,315,7,2,2020-12-28,2021-01-04
1,3,3,4,3,3,3,3,420,42,2,2021-04-12,2021-05-24
2,3,2,2,3,2,2,3,252,63,2,2020-10-26,2020-12-28
3,3,2,2,4,2,1,1,336,77,0,2021-01-18,2021-04-05
4,3,1,1,4,1,4,1,392,84,2,2021-03-15,2021-06-07
5,4,2,4,4,4,2,1,336,49,2,2021-01-18,2021-03-08
6,2,3,2,3,2,3,1,210,126,2,2020-09-14,2021-01-18
7,3,2,1,3,3,4,3,385,112,2,2021-03-08,2021-06-28
8,3,1,1,1,1,1,3,385,14,2,2021-03-08,2021-03-22
9,1,2,2,2,3,2,4,210,140,2,2020-09-14,2021-02-01
10,4,3,2,3,4,3,3,168,70,2,2020-08-03,2020-10-12
11,3,3,2,3,1,1,3,168,70,2,2020-08-03,2020-10-12
12,2,1,2,4,2,2,4,266,91,2,2020-11-09,2021-02-08
13,3,1,3,4,1,1,3,42,28,2,2020-03-30,2020-04-27
14,1,3,1,3,2,1,2,434,14,2,2021-04-26,2021-05-10
15,3,3,4,4,4,4,2,371,133,2,2021-02-22,2021-07-05
16,3,1,3,2,3,2,2,322,119,2,2021-01-04,2021-05-03
17,1,2,4,3,2,2,2,147,70,2,2020-07-13,2020-09-21
18,2,1,1,2,1,2,3,231,133,2,2020-10-05,2021-02-15
19,1,4,1,2,4,2,3,420,77,2,2021-04-12,2021-06-28
20,4,3,2,4,1,2,2,406,28,2,2021-03-29,2021-04-26
21,3,3,2,3,4,2,3,378,63,2,2021-03-01,2021-05-03
22,1,2,3,2,2,3,2,77,7,2,2020-05-04,2020-05-11
23,2,4,1,4,3,4,2,175,77,2,2020-08-10,2020-10-26
24,4,1,3,4,3,2,4,364,7,3,2021-02-15,2021-02-22
25,1,2,1,1,3,2,3,105,105,2,2020-06-01,2020-09-14
26,4,1,2,3,3,3,4,70,70,2,2020-04-27,2020-07-06
27,4,1,2,2,1,4,3,315,49,2,2020-12-28,2021-02-15
28,4,3,2,3,2,4,4,273,112,2,2020-11-16,2021-03-08
29,1,2,1,2,4,2,4,441,112,2,2021-05-03,2021-08-23
30,3,4,3,3,1,2,4,203,119,1,2020-09-07,2021-01-04
31,3,3,2,4,2,1,3,413,14,2,2021-04-05,2021-04-19
32,1,3,3,1,4,1,3,343,63,2,2021-01-25,2021-03-29
33,3,1,3,3,4,3,1,266,70,2,2020-11-09,2021-01-18
34,3,1,4,3,1,4,3,329,140,2,2021-01-11,2021-05-31
35,4,2,4,2,2,1,4,441,119,2,2021-05-03,2021-08-30
36,3,2,2,1,1,1,3,308,105,0,2020-12-21,2021-04-05
37,1,4,3,2,2,3,2,210,133,2,2020-09-14,2021-01-25
38,1,1,2,2,1,1,2,406,14,2,2021-03-29,2021-04-12
39,1,2,2,1,1,1,3,175,42,0,2020-08-10,2020-09-21
40,2,1,4,1,1,2,3,70,56,2,2020-04-27,2020-06-22
41,4,1,2,4,1,3,4,42,126,2,2020-03-30,2020-08-03
42,1,1,2,2,2,2,4,133,98,2,2020-06-29,2020-10-05
43,3,2,3,4,1,3,4,126,35,3,2020-06-22,2020-07-27
44,3,2,1,3,3,2,3,385,14,2,2021-03-08,2021-03-22
45,4,3,3,1,4,2,4,105,63,3,2020-06-01,2020-08-03
46,3,2,3,3,4,4,4,245,63,3,2020-10-19,2020-12-21
47,1,1,4,3,1,1,3,112,140,2,2020-06-08,2020-10-26
48,1,2,3,3,2,2,3,427,49,3,2021-04-19,2021-06-07
49,4,3,3,3,1,1,3,49,63,2,2020-04-06,2020-06-08
50,4,2,2,4,1,2,4,385,133,2,2021-03-08,2021-07-19
