,Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration,Class_label,Start_date,End_date
0,3,1,4,1,2,2,4,133,126,2,2020-06-29,2020-11-02
1,4,1,2,4,2,1,3,56,98,2,2020-04-13,2020-07-20
2,2,1,2,3,2,2,3,112,105,2,2020-06-08,2020-09-21
3,3,1,2,1,3,1,4,259,63,2,2020-11-02,2021-01-04
4,3,3,3,3,1,1,3,154,28,2,2020-07-20,2020-08-17
5,2,1,3,3,1,2,2,378,14,2,2021-03-01,2021-03-15
6,3,4,2,1,4,4,4,273,126,2,2020-11-16,2021-03-22
7,3,1,2,3,1,2,3,371,119,2,2021-02-22,2021-06-21
8,1,1,2,4,1,2,4,154,112,2,2020-07-20,2020-11-09
9,1,1,1,3,1,3,2,392,56,2,2021-03-15,2021-05-10
10,1,2,1,3,1,2,4,315,147,2,2020-12-28,2021-05-24
11,4,3,2,3,2,2,4,406,126,2,2021-03-29,2021-08-02
12,1,3,2,4,1,4,2,378,7,2,2021-03-01,2021-03-08
13,1,1,2,3,1,2,3,392,35,2,2021-03-15,2021-04-19
14,4,3,2,3,2,2,1,427,112,2,2021-04-19,2021-08-09
15,3,1,1,4,2,4,2,133,98,2,2020-06-29,2020-10-05
16,3,1,1,3,3,4,4,224,105,2,2020-09-28,2021-01-11
17,1,4,3,4,1,3,4,413,119,2,2021-04-05,2021-08-02
18,4,1,2,3,2,1,1,378,119,2,2021-03-01,2021-06-28
19,2,1,1,1,2,1,4,238,105,2,2020-10-12,2021-01-25
20,3,3,2,2,2,2,4,245,63,2,2020-10-19,2020-12-21
21,3,2,3,3,4,3,3,413,98,2,2021-04-05,2021-07-12
22,1,2,2,3,4,1,2,84,147,2,2020-05-11,2020-10-05
23,3,3,1,2,1,3,2,266,126,2,2020-11-09,2021-03-15
24,1,3,2,3,1,2,3,196,105,2,2020-08-31,2020-12-14
25,4,3,2,4,1,1,4,273,56,2,2020-11-16,2021-01-11
26,2,1,4,3,1,3,3,210,21,2,2020-09-14,2020-10-05
27,1,3,2,1,1,2,4,112,119,2,2020-06-08,2020-10-05
28,1,2,4,4,1,2,2,357,35,2,2021-02-08,2021-03-15
29,3,4,2,2,3,3,3,133,119,2,2020-06-29,2020-10-26
30,3,3,2,2,1,2,3,98,7,2,2020-05-25,2020-06-01
31,3,2,2,3,2,4,1,336,126,2,2021-01-18,2021-05-24
32,1,1,4,3,1,2,2,210,56,2,2020-09-14,2020-11-09
33,4,3,3,3,1,2,3,420,56,2,2021-04-12,2021-06-07
34,3,2,2,3,1,3,4,322,70,2,2021-01-04,2021-03-15
35,1,2,3,4,2,2,4,49,147,3,2020-04-06,2020-08-31
36,1,4,4,4,2,3,2,434,77,2,2021-04-26,2021-07-12
37,3,2,1,3,2,1,4,441,112,2,2021-05-03,2021-08-23
38,3,2,3,4,4,2,1,126,77,2,2020-06-22,2020-09-07
39,3,1,3,3,2,2,3,371,98,2,2021-02-22,2021-05-31
40,1,1,4,2,1,4,4,392,63,2,2021-03-15,2021-05-17
41,1,1,4,4,1,2,3,196,147,2,2020-08-31,2021-01-25
42,3,3,2,3,3,1,4,329,21,2,2021-01-11,2021-02-01
43,1,3,2,2,1,1,4,196,147,2,2020-08-31,2021-01-25
44,3,3,2,4,1,4,4,322,119,2,2021-01-04,2021-05-03
45,2,1,3,3,2,3,2,252,77,2,2020-10-26,2021-01-11
46,3,2,1,2,2,1,4,399,7,2,2021-03-22,2021-03-29
47,1,2,3,3,3,4,4,343,77,2,2021-01-25,2021-04-12
48,2,1,3,3,1,2,3,343,126,2,2021-01-25,2021-05-31
49,2,2,1,3,2,4,2,385,84,3,2021-03-08,2021-05-31
50,3,1,2,2,1,1,3,252,56,2,2020-10-26,2020-12-21
51,4,1,2,2,4,2,2,371,42,2,2021-02-22,2021-04-05
52,4,1,3,4,3,4,1,133,77,3,2020-06-29,2020-09-14
53,2,2,1,2,2,1,1,399,21,0,2021-03-22,2021-04-12
54,4,1,1,1,2,2,2,294,112,2,2020-12-07,2021-03-29
55,4,1,4,3,2,1,3,119,140,2,2020-06-15,2020-11-02
56,3,2,1,3,4,2,4,210,98,2,2020-09-14,2020-12-21
57,4,1,2,3,1,4,3,413,56,2,2021-04-05,2021-05-31
58,4,1,3,4,1,3,1,266,133,2,2020-11-09,2021-03-22
59,4,2,2,2,3,2,3,301,112,2,2020-12-14,2021-04-05
60,4,1,3,1,3,1,2,231,49,2,2020-10-05,2020-11-23
61,3,2,2,2,4,2,3,329,63,2,2021-01-11,2021-03-15
62,4,2,2,1,2,1,3,98,56,2,2020-05-25,2020-07-20
63,3,2,2,3,1,3,3,315,140,2,2020-12-28,2021-05-17
64,3,1,3,3,1,3,3,420,77,2,2021-04-12,2021-06-28
65,4,2,3,4,2,3,3,343,105,3,2021-01-25,2021-05-10
66,3,1,2,1,3,1,4,189,21,2,2020-08-24,2020-09-14
67,1,3,2,3,1,2,3,392,49,2,2021-03-15,2021-05-03
68,2,2,1,1,3,2,3,343,42,2,2021-01-25,2021-03-08
69,4,4,4,1,2,1,2,63,133,2,2020-04-20,2020-08-31
70,3,3,1,3,1,2,3,56,98,2,2020-04-13,2020-07-20
71,4,3,2,2,2,1,3,140,35,2,2020-07-06,2020-08-10
72,3,1,3,3,2,2,3,343,77,2,2021-01-25,2021-04-12
73,1,2,4,3,2,2,3,420,49,2,2021-04-12,2021-05-31
74,3,4,2,4,4,2,4,287,147,2,2020-11-30,2021-04-26
75,3,1,1,3,1,2,3,308,119,2,2020-12-21,2021-04-19
76,3,4,2,3,2,3,4,91,147,2,2020-05-18,2020-10-12
77,1,2,2,3,1,3,2,413,28,3,2021-04-05,2021-05-03
78,4,4,3,3,2,2,4,231,7,1,2020-10-05,2020-10-12
79,2,1,1,3,1,2,3,287,119,2,2020-11-30,2021-03-29
80,3,1,3,3,3,1,4,217,119,2,2020-09-21,2021-01-18
81,1,1,2,3,1,3,1,350,105,2,2021-02-01,2021-05-17
82,3,1,3,4,2,2,3,231,119,2,2020-10-05,2021-02-01
83,1,3,3,2,3,1,2,350,21,2,2021-02-01,2021-02-22
84,1,2,3,3,1,1,3,203,7,3,2020-09-07,2020-09-14
85,4,3,2,3,2,2,4,441,84,2,2021-05-03,2021-07-26
86,3,1,2,3,1,4,4,231,140,2,2020-10-05,2021-02-22
87,1,4,1,4,1,2,3,161,21,2,2020-07-27,2020-08-17
88,4,3,2,4,3,4,4,126,91,2,2020-06-22,2020-09-21
89,3,2,2,4,2,2,2,210,140,2,2020-09-14,2021-02-01
90,1,1,3,3,2,2,4,56,147,2,2020-04-13,2020-09-07
91,1,1,2,2,1,1,4,392,7,2,2021-03-15,2021-03-22
92,4,1,2,3,1,2,3,189,133,2,2020-08-24,2021-01-04
93,1,2,2,3,1,2,2,385,147,3,2021-03-08,2021-08-02
94,1,1,2,3,2,3,4,441,126,2,2021-05-03,2021-09-06
95,3,1,2,3,3,1,4,119,42,2,2020-06-15,2020-07-27
96,1,2,4,2,2,2,2,112,42,2,2020-06-08,2020-07-20
97,4,4,4,3,3,2,3,126,98,1,2020-06-22,2020-09-28
98,1,1,1,3,1,3,3,406,56,2,2021-03-29,2021-05-24
99,3,1,3,1,2,1,4,91,42,2,2020-05-18,2020-06-29
