,Week5_Covid,Week4_Covid,Week3_Covid,Week5_Mobility,Week4_Mobility,Week3_Mobility,Week2_Mobility,Days_passed,Duration,Class_label,Start_date,End_date
0,1,3,1,3,3,3,3,329,140,2,2021-01-11,2021-05-31
1,4,4,1,3,1,2,3,42,119,2,2020-03-30,2020-07-27
2,3,2,1,3,4,3,2,336,91,2,2021-01-18,2021-04-19
3,4,1,2,3,2,1,3,294,70,2,2020-12-07,2021-02-15
4,3,4,1,4,2,3,3,105,119,2,2020-06-01,2020-09-28
5,2,2,3,3,4,2,4,175,49,2,2020-08-10,2020-09-28
6,3,4,2,3,1,4,3,266,21,2,2020-11-09,2020-11-30
7,4,2,2,4,2,4,3,392,7,2,2021-03-15,2021-03-22
8,4,1,1,3,1,2,2,406,147,2,2021-03-29,2021-08-23
9,3,1,2,1,1,2,3,280,112,2,2020-11-23,2021-03-15
10,3,4,3,4,2,1,3,378,140,1,2021-03-01,2021-07-19
11,1,1,2,3,1,1,1,427,126,0,2021-04-19,2021-08-23
12,1,3,3,3,2,2,4,133,140,2,2020-06-29,2020-11-16
13,1,1,2,3,1,2,3,336,140,2,2021-01-18,2021-06-07
14,3,3,2,3,1,2,3,315,84,2,2020-12-28,2021-03-22
15,3,1,2,3,1,2,3,189,98,2,2020-08-24,2020-11-30
16,2,2,2,4,1,2,4,252,63,2,2020-10-26,2020-12-28
17,3,1,1,4,2,2,4,385,98,2,2021-03-08,2021-06-14
18,2,3,3,3,2,2,2,336,63,2,2021-01-18,2021-03-22
19,4,4,4,4,2,1,4,238,77,1,2020-10-12,2020-12-28
20,2,1,1,3,4,1,3,406,133,2,2021-03-29,2021-08-09
21,4,2,2,3,3,2,1,301,77,3,2020-12-14,2021-03-01
22,4,1,1,3,4,1,2,126,35,2,2020-06-22,2020-07-27
23,3,1,4,3,1,2,4,217,42,2,2020-09-21,2020-11-02
24,1,3,2,4,1,1,3,224,49,2,2020-09-28,2020-11-16
25,3,3,1,3,3,1,4,259,35,2,2020-11-02,2020-12-07
26,3,1,1,3,1,4,3,56,133,2,2020-04-13,2020-08-24
27,4,1,3,3,3,1,4,91,49,3,2020-05-18,2020-07-06
28,4,1,3,3,3,2,3,238,21,2,2020-10-12,2020-11-02
29,2,1,2,3,3,1,3,56,147,2,2020-04-13,2020-09-07
30,4,2,1,2,3,1,3,420,77,2,2021-04-12,2021-06-28
31,3,1,2,4,1,2,2,84,147,2,2020-05-11,2020-10-05
32,2,1,1,3,2,2,4,147,70,2,2020-07-13,2020-09-21
33,4,1,2,2,1,2,3,70,77,2,2020-04-27,2020-07-13
34,2,1,3,3,3,1,2,336,105,2,2021-01-18,2021-05-03
35,1,3,1,3,1,2,4,266,28,2,2020-11-09,2020-12-07
36,4,2,3,3,1,1,4,133,140,3,2020-06-29,2020-11-16
37,1,3,3,2,4,2,3,399,84,2,2021-03-22,2021-06-14
38,1,2,2,3,2,1,2,294,28,3,2020-12-07,2021-01-04
39,1,1,2,3,3,3,2,84,98,2,2020-05-11,2020-08-17
40,2,3,2,3,1,2,3,203,119,2,2020-09-07,2021-01-04
41,1,1,1,3,3,1,2,273,140,2,2020-11-16,2021-04-05
42,3,1,1,2,3,4,3,245,14,2,2020-10-19,2020-11-02
43,4,3,2,1,1,2,3,91,84,2,2020-05-18,2020-08-10
44,3,2,2,3,3,3,2,98,7,2,2020-05-25,2020-06-01
45,3,2,3,3,3,1,2,357,70,2,2021-02-08,2021-04-19
46,4,3,2,3,3,1,3,77,112,2,2020-05-04,2020-08-24
47,4,2,2,2,1,2,1,161,56,3,2020-07-27,2020-09-21
48,4,3,4,2,1,1,2,245,14,2,2020-10-19,2020-11-02
49,2,1,4,2,2,2,1,392,91,2,2021-03-15,2021-06-14
50,4,1,3,3,2,2,4,301,91,3,2020-12-14,2021-03-15
51,3,3,1,4,2,2,1,280,119,2,2020-11-23,2021-03-22
52,4,1,3,3,4,1,4,210,42,2,2020-09-14,2020-10-26
53,3,3,1,4,3,2,1,196,126,2,2020-08-31,2021-01-04
54,4,3,2,3,1,3,3,84,63,2,2020-05-11,2020-07-13
55,3,2,2,3,3,2,2,168,147,2,2020-08-03,2020-12-28
56,3,2,4,3,3,3,4,196,49,2,2020-08-31,2020-10-19
57,4,1,2,3,2,3,4,77,98,2,2020-05-04,2020-08-10
58,4,1,1,3,3,3,3,427,140,2,2021-04-19,2021-09-06
59,4,4,2,4,2,2,2,98,147,1,2020-05-25,2020-10-19
60,3,2,1,3,3,3,4,252,112,2,2020-10-26,2021-02-15
61,4,3,2,4,1,2,2,168,105,2,2020-08-03,2020-11-16
62,2,1,1,3,2,1,2,357,49,2,2021-02-08,2021-03-29
63,3,3,3,4,3,2,3,357,49,2,2021-02-08,2021-03-29
64,3,1,2,3,2,3,3,420,42,2,2021-04-12,2021-05-24
65,4,3,3,3,3,4,4,301,147,3,2020-12-14,2021-05-10
66,1,3,2,4,1,2,3,427,70,2,2021-04-19,2021-06-28
67,3,1,3,4,1,2,1,224,126,2,2020-09-28,2021-02-01
68,1,1,2,4,1,2,3,105,133,2,2020-06-01,2020-10-12
69,2,1,2,3,1,2,1,441,28,2,2021-05-03,2021-05-31
70,1,1,3,4,3,1,1,364,112,2,2021-02-15,2021-06-07
71,4,4,2,1,1,3,3,308,14,2,2020-12-21,2021-01-04
72,4,3,3,3,1,4,3,364,7,3,2021-02-15,2021-02-22
73,3,1,4,4,3,1,2,126,49,2,2020-06-22,2020-08-10
74,3,2,2,2,1,3,4,329,140,2,2021-01-11,2021-05-31
75,3,2,1,2,2,1,3,105,42,2,2020-06-01,2020-07-13
76,4,2,2,2,1,1,4,315,140,2,2020-12-28,2021-05-17
77,2,1,1,1,2,4,3,245,133,2,2020-10-19,2021-03-01
78,1,1,4,4,1,4,3,168,105,2,2020-08-03,2020-11-16
79,3,3,1,1,2,2,2,252,28,2,2020-10-26,2020-11-23
80,1,1,2,3,2,4,1,63,21,2,2020-04-20,2020-05-11
81,3,1,3,2,1,3,3,161,56,2,2020-07-27,2020-09-21
82,3,4,1,4,1,2,3,371,140,2,2021-02-22,2021-07-12
83,4,2,2,4,1,1,3,308,28,2,2020-12-21,2021-01-18
84,3,3,2,3,1,3,2,168,63,2,2020-08-03,2020-10-05
85,3,4,4,3,2,1,2,217,28,2,2020-09-21,2020-10-19
86,2,2,2,2,2,2,3,357,133,3,2021-02-08,2021-06-21
87,4,2,2,3,3,3,3,70,105,2,2020-04-27,2020-08-10
88,4,3,3,3,4,2,3,154,119,2,2020-07-20,2020-11-16
89,4,1,3,3,2,2,3,154,140,2,2020-07-20,2020-12-07
90,1,1,1,3,3,1,4,154,14,2,2020-07-20,2020-08-03
91,1,4,2,2,1,3,3,280,140,2,2020-11-23,2021-04-12
92,3,1,4,4,1,1,2,301,98,2,2020-12-14,2021-03-22
