Week6_Covid=NONE,Week6_Covid=AND,Week6_Covid=LMM,Week6_Covid=HM,Week6_Covid=HMM,Week5_Covid=NONE,Week5_Covid=AND,Week5_Covid=LMM,Week5_Covid=HM,Week5_Covid=HMM,Week4_Covid=NONE,Week4_Covid=AND,Week4_Covid=LMM,Week4_Covid=HM,Week4_Covid=HMM,Week3_Covid=NONE,Week3_Covid=AND,Week3_Covid=LMM,Week3_Covid=HM,Week3_Covid=HMM,Week2_Covid=NONE,Week2_Covid=AND,Week2_Covid=LMM,Week2_Covid=HM,Week2_Covid=HMM,Week1_Covid=NONE,Week1_Covid=AND,Week1_Covid=LMM,Week1_Covid=HM,Week1_Covid=HMM,Week6_Mobility=NONE,Week6_Mobility=NM,Week6_Mobility=DM,Week6_Mobility=SH,Week6_Mobility=IM,Week5_Mobility=NONE,Week5_Mobility=NM,Week5_Mobility=SH,Week5_Mobility=IM,Week5_Mobility=DM,Week4_Mobility=NONE,Week4_Mobility=NM,Week4_Mobility=SH,Week4_Mobility=IM,Week4_Mobility=DM,Week3_Mobility=NONE,Week3_Mobility=NM,Week3_Mobility=SH,Week3_Mobility=DM,Week3_Mobility=IM,Week2_Mobility=NONE,Week2_Mobility=NM,Week2_Mobility=SH,Week2_Mobility=DM,Week2_Mobility=IM,Week1_Mobility=NONE,Week1_Mobility=NM,Week1_Mobility=SH,Week1_Mobility=DM,Week1_Mobility=IM
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
